"","County.Name","District.Code","District.Name","grad.rate.poor","grad.rate.Eng.learners","grad.rate.all","count.poor","count.Eng.learners","count.all"
"1","Atlantic",110,"Atlantic City School District",75.9,66.2,76.6,431,65,474
"2","Atlantic",590,"Buena Regional School District",76.9,NA,85.2,78,NA,142
"3","Atlantic",1310,"Egg Harbor Township School District",90.5,97,92.9,328,33,591
"4","Atlantic",1790,"Greater Egg Harbor Regional High School District",85.4,94.4,89.4,460,18,842
"5","Atlantic",1960,"Hammonton School District",77.6,35,87.5,147,20,352
"6","Atlantic",2910,"Mainland Regional High School",89.8,NA,92.9,98,NA,324
"7","Atlantic",4180,"Pleasantville Public School District",86.6,77.1,84.8,224,48,256
"8","Bergen",300,"Bergenfield Borough School District",97.1,90.9,96.2,138,22,318
"9","Bergen",440,"Bogota Public School District",96.9,90.9,96.3,65,11,108
"10","Bergen",745,"Carlstadt-East Rutherford Regional High School District",86,NA,91.1,50,NA,124
"11","Bergen",890,"Cliffside Park School District",92.5,83.6,91.7,200,55,300
"12","Bergen",990,"Cresskill Public School District",NA,NA,96.9,NA,NA,130
"13","Bergen",1130,"Dumont Public School District",93.3,NA,91.4,30,NA,210
"14","Bergen",1345,"Elmwood Park School District",86.1,81.8,88.9,115,11,207
"15","Bergen",1360,"Emerson Public School District",NA,NA,100,NA,NA,78
"16","Bergen",1370,"Englewood Public School District",84,53.1,84.4,187,32,269
"17","Bergen",1450,"Fair Lawn Public School District",96.9,93.3,95.4,65,15,393
"18","Bergen",1550,"Fort Lee School District",88.5,88.5,94.7,87,26,318
"19","Bergen",1700,"Garfield Public School District",88.4,80,89.8,207,35,283
"20","Bergen",1760,"Glen Rock Public School District",NA,NA,98.9,NA,NA,177
"21","Bergen",1860,"Hackensack School District",92.9,93.7,93.2,338,63,542
"22","Bergen",2080,"Hasbrouck Heights School District",96.7,NA,98.6,30,NA,144
"23","Bergen",2620,"Leonia Public School District",92.5,100,96.7,53,11,213
"24","Bergen",2740,"Lodi School District",94.2,100,93.2,156,19,250
"25","Bergen",2860,"Lyndhurst Public School District",83.1,78.6,87.2,71,14,203
"26","Bergen",2900,"Mahwah Township Public School District",88.6,NA,94.1,35,NA,256
"27","Bergen",3170,"Midland Park School District",NA,NA,97.3,NA,NA,73
"28","Bergen",3550,"New Milford Public School District",93.9,NA,97.6,33,NA,170
"29","Bergen",3600,"North Arlington School District",92.9,NA,94.9,42,NA,138
"30","Bergen",3700,"Northern Highlands Regional High School District",NA,NA,98.3,NA,NA,362
"31","Bergen",3710,"Northern Valley Regional High School District",92.3,NA,97.4,13,NA,537
"32","Bergen",3910,"Palisades Park School District",63.4,49.4,69.6,101,79,158
"33","Bergen",3930,"Paramus Public School District",91.7,90,97.6,36,10,333
"34","Bergen",3940,"Park Ridge School District",NA,NA,92.9,NA,NA,98
"35","Bergen",3960,"Pascack Valley Regional High School District",100,NA,97.7,13,NA,520
"36","Bergen",4300,"Ramapo Indian Hills Regional High School District",72.7,NA,97.7,22,NA,573
"37","Bergen",4310,"Ramsey School District",85,NA,96.3,20,NA,242
"38","Bergen",4370,"Ridgefield School District",90.5,63.6,90,42,11,110
