district,town,registered.voters,votes.cast,turnout,fulop,spiller,gottheimer,sherrill,sweeny,baraka
East Windsor 1,East Windsor,654,239,36.54,27,35,18,122,8,29
East Windsor 2,East Windsor,740,177,23.92,35,24,11,60,4,43
East Windsor 3,East Windsor,285,136,47.72,16,13,8,84,3,12
East Windsor 4,East Windsor,744,315,42.34,66,32,30,151,3,29
East Windsor 5,East Windsor,664,228,34.34,42,35,24,86,7,32
East Windsor 6,East Windsor,520,164,31.54,37,19,21,60,10,17
East Windsor 7,East Windsor,456,182,39.91,41,13,11,92,8,17
East Windsor 8,East Windsor,622,226,36.33,28,37,9,103,8,40
East Windsor 9,East Windsor,351,77,21.94,14,7,7,28,1,19
East Windsor 10,East Windsor,320,89,27.81,16,10,9,27,2,25
East Windsor 11,East Windsor,617,197,31.93,40,38,12,70,4,32
East Windsor 12,East Windsor,405,119,29.38,8,25,13,44,2,26
East Windsor 13,East Windsor,422,121,28.67,20,27,7,43,5,19
East Windsor 14,East Windsor,369,97,26.29,13,16,7,33,1,27
East Windsor 15,East Windsor,387,116,29.97,14,21,13,49,2,16
East Windsor 17,East Windsor,375,128,34.13,27,18,12,41,5,25
Ewing Twp 1,Ewing Twp,343,159,46.36,18,15,18,71,7,30
Ewing Twp 2,Ewing Twp,376,122,32.45,11,19,1,45,5,41
Ewing Twp 3,Ewing Twp,427,140,32.79,9,34,14,23,11,49
Ewing Twp 4,Ewing Twp,600,198,33,20,46,20,50,10,52
Ewing Twp 5,Ewing Twp,564,191,33.87,13,48,7,28,8,86
Ewing Twp 6,Ewing Twp,516,164,31.78,18,27,8,48,3,58
Ewing Twp 7,Ewing Twp,821,274,33.37,31,59,12,62,12,96
Ewing Twp 8,Ewing Twp,391,168,42.97,35,20,11,71,8,23
Ewing Twp 9,Ewing Twp,538,159,29.55,17,38,10,32,2,60
Ewing Twp 10,Ewing Twp,553,151,27.31,22,28,11,27,5,58
Ewing Twp 11,Ewing Twp,519,203,39.11,23,32,11,68,9,60
Ewing Twp 12,Ewing Twp,781,270,34.57,23,62,10,64,10,98
Ewing Twp 13,Ewing Twp,581,193,33.22,23,32,10,53,9,65
Ewing Twp 14,Ewing Twp,258,109,42.25,17,14,4,45,4,24
Ewing Twp 15,Ewing Twp,607,226,37.23,15,45,10,46,8,102
Ewing Twp 16,Ewing Twp,269,108,40.15,19,5,2,59,6,17
Ewing Twp 17,Ewing Twp,490,138,28.16,23,26,7,34,9,35
Ewing Twp 18,Ewing Twp,296,96,32.43,17,13,6,33,11,16
Ewing Twp 19,Ewing Twp,750,262,34.93,53,29,14,107,6,52
Ewing Twp 20,Ewing Twp,236,85,36.02,13,14,3,34,1,20
Ewing Twp 21,Ewing Twp,579,222,38.34,35,26,21,79,5,56
Ewing Twp 22,Ewing Twp,266,88,33.08,11,13,5,39,2,17
Ewing Twp 23,Ewing Twp,360,109,30.28,16,16,7,26,5,38
Ewing Twp 24,Ewing Twp,956,317,33.16,47,38,16,101,11,104
Ewing Twp 25,Ewing Twp,582,178,30.58,15,47,11,39,6,59
Ewing Twp 26,Ewing Twp,531,178,33.52,24,29,12,59,5,48
Ewing Twp 27,Ewing Twp,680,212,31.18,19,32,9,53,15,82
Hamilton Twp 1,Hamilton Twp,354,105,29.66,11,14,9,46,8,16
Hamilton Twp 2,Hamilton Twp,251,87,34.66,7,11,7,40,8,14
Hamilton Twp 3,Hamilton Twp,242,85,35.12,7,8,6,44,6,12
Hamilton Twp 4,Hamilton Twp,501,126,25.15,16,19,10,20,9,52
Hamilton Twp 5,Hamilton Twp,625,115,18.4,9,20,10,24,5,44
Hamilton Twp 6,Hamilton Twp,479,112,23.38,14,20,4,50,5,19
Hamilton Twp 7,Hamilton Twp,1045,186,17.8,24,44,7,35,11,62
Hamilton Twp 8,Hamilton Twp,240,58,24.17,8,4,5,31,2,8
Hamilton Twp 9,Hamilton Twp,303,116,38.28,19,11,7,46,9,23
Hamilton Twp 10,Hamilton Twp,313,149,47.6,21,12,20,73,13,8
Hamilton Twp 11,Hamilton Twp,418,113,27.03,8,27,8,28,7,34
Hamilton Twp 12,Hamilton Twp,605,146,24.13,8,27,12,41,9,48
Hamilton Twp 13,Hamilton Twp,659,162,24.58,13,43,14,33,7,52
Hamilton Twp 14,Hamilton Twp,493,145,29.41,14,25,14,35,15,39
Hamilton Twp 15,Hamilton Twp,741,212,28.61,36,33,13,72,5,51
Hamilton Twp 16,Hamilton Twp,478,121,25.31,15,14,13,33,5,41
Hamilton Twp 17,Hamilton Twp,481,134,27.86,19,23,14,38,11,27
Hamilton Twp 18,Hamilton Twp,408,116,28.43,7,12,3,30,14,50
Hamilton Twp 19,Hamilton Twp,214,75,35.05,8,8,6,39,4,7
Hamilton Twp 20,Hamilton Twp,267,103,38.58,11,14,6,53,7,11
Hamilton Twp 21,Hamilton Twp,211,68,32.23,9,18,4,30,4,3
Hamilton Twp 22,Hamilton Twp,215,77,35.81,20,11,3,33,2,8
Hamilton Twp 23,Hamilton Twp,720,167,23.19,12,32,12,30,6,71
Hamilton Twp 24,Hamilton Twp,266,94,35.34,7,18,8,36,10,14
Hamilton Twp 25,Hamilton Twp,530,146,27.55,13,22,8,54,9,40
Hamilton Twp 26,Hamilton Twp,314,110,35.03,6,20,12,39,9,23
Hamilton Twp 27,Hamilton Twp,427,141,33.02,21,20,11,55,10,23
Hamilton Twp 28,Hamilton Twp,283,114,40.28,14,15,7,60,7,11
Hamilton Twp 29,Hamilton Twp,311,111,35.69,14,22,11,36,8,17
Hamilton Twp 30,Hamilton Twp,221,81,36.65,9,15,6,41,4,6
Hamilton Twp 31,Hamilton Twp,550,145,26.36,17,24,4,57,9,34
Hamilton Twp 32,Hamilton Twp,264,113,42.8,19,17,5,48,4,20
Hamilton Twp 33,Hamilton Twp,319,93,29.15,16,7,3,38,4,24
Hamilton Twp 34,Hamilton Twp,299,112,37.46,19,15,9,40,9,19
Hamilton Twp 35,Hamilton Twp,372,122,32.8,26,20,8,46,8,14
Hamilton Twp 36,Hamilton Twp,251,108,43.03,20,12,10,55,4,7
Hamilton Twp 37,Hamilton Twp,291,97,33.33,16,14,7,33,8,19
Hamilton Twp 38,Hamilton Twp,349,90,25.79,13,17,10,32,4,12
Hamilton Twp 39,Hamilton Twp,331,67,20.24,14,11,6,13,2,21
Hamilton Twp 40,Hamilton Twp,246,78,31.71,11,8,6,45,1,5
Hamilton Twp 41,Hamilton Twp,530,161,30.38,24,16,13,55,15,34
Hamilton Twp 42,Hamilton Twp,239,86,35.98,15,22,5,24,4,16
Hamilton Twp 43,Hamilton Twp,284,107,37.68,27,24,3,41,2,8
Hamilton Twp 44,Hamilton Twp,283,111,39.22,14,17,9,44,7,20
Hamilton Twp 45,Hamilton Twp,270,108,40,22,19,6,36,12,11
Hamilton Twp 46,Hamilton Twp,215,69,32.09,7,4,3,43,4,8
Hamilton Twp 47,Hamilton Twp,503,220,43.74,27,27,24,96,23,21
Hamilton Twp 48,Hamilton Twp,274,138,50.36,19,14,15,74,5,9
Hamilton Twp 49,Hamilton Twp,308,115,37.34,13,13,10,49,17,11
Hamilton Twp 50,Hamilton Twp,338,117,34.62,20,20,2,51,11,12
Hamilton Twp 51,Hamilton Twp,279,107,38.35,12,16,8,44,5,22
Hamilton Twp 52,Hamilton Twp,648,136,20.99,21,16,7,51,9,31
Hamilton Twp 53,Hamilton Twp,302,99,32.78,18,9,10,42,7,13
Hamilton Twp 54,Hamilton Twp,466,134,28.76,21,32,8,37,8,28
Hamilton Twp 55,Hamilton Twp,265,111,41.89,19,16,5,55,7,8
Hamilton Twp 56,Hamilton Twp,373,148,39.68,18,14,9,77,10,19
Hamilton Twp 57,Hamilton Twp,287,87,30.31,10,10,5,31,6,24
Hamilton Twp 58,Hamilton Twp,217,81,37.33,13,14,5,33,5,10
Hamilton Twp 59,Hamilton Twp,429,171,39.86,28,20,12,84,12,14
Hamilton Twp 60,Hamilton Twp,383,135,35.25,21,20,7,60,16,9
Hamilton Twp 61,Hamilton Twp,436,206,47.25,23,20,19,103,22,17
Hamilton Twp 62,Hamilton Twp,227,92,40.53,13,12,2,44,5,15
Hamilton Twp 63,Hamilton Twp,295,90,30.51,14,13,7,21,9,24
Hamilton Twp 64,Hamilton Twp,366,104,28.42,14,11,6,46,13,12
Hamilton Twp 65,Hamilton Twp,299,99,33.11,20,9,6,38,6,18
Hightstown Boro 1,Hightstown Boro,469,146,31.13,24,10,6,69,3,34
Hightstown Boro 2,Hightstown Boro,356,129,36.24,25,13,5,53,12,21
Hightstown Boro 3,Hightstown Boro,341,114,33.43,21,14,6,44,3,25
Hightstown Boro 4,Hightstown Boro,429,153,35.66,19,7,3,99,5,20
Hopewell Boro 1,Hopewll Boro,482,233,48.34,98,15,4,79,2,34
Hopewell Boro 2,Hopewll Boro,569,255,44.82,81,17,3,100,5,49
Hopewell Twp 1,Hopewell Twp,493,172,34.89,28,20,11,68,1,44
Hopewell Twp 2,Hopewell Twp,521,210,40.31,40,20,13,119,2,16
Hopewell Twp 3,Hopewell Twp,289,100,34.6,17,9,3,52,5,14
Hopewell Twp 4,Hopewell Twp,441,171,38.78,38,11,11,88,4,18
Hopewell Twp 5,Hopewell Twp,699,263,37.63,58,22,12,140,7,22
Hopewell Twp 6,Hopewell Twp,527,218,41.37,57,11,8,90,14,36
Hopewell Twp 7,Hopewell Twp,445,156,35.06,38,15,10,72,6,15
Hopewell Twp 8,Hopewell Twp,637,239,37.52,75,7,22,111,9,15
Hopewell Twp 9,Hopewell Twp,248,92,37.1,21,5,5,42,3,16
Hopewell Twp 10,Hopewell Twp,507,192,37.87,26,24,17,88,12,22
Hopewell Twp 11,Hopewell Twp,434,185,42.63,25,19,22,90,2,26
Hopewell Twp 12,Hopewell Twp,405,189,46.67,31,17,16,95,3,27
Hopewell Twp 13,Hopewell Twp,240,87,36.25,8,9,11,41,2,16
Hopewell Twp 14,Hopewell Twp,498,193,38.76,33,14,7,104,9,25
Lawrence Twp 1,Lawrence Twp,592,273,46.11,82,16,13,126,4,31
Lawrence Twp 2,Lawrence Twp,414,173,41.79,23,22,6,88,4,28
Lawrence Twp 3,Lawrence Twp,641,230,35.88,25,44,5,50,6,97
