"","income","educ","cntrep_opinions","cntrep_help","contact_rep","pid3.recode","women","race.eth","age"
"1",NA,2,0,0,0,2,1,3,62
"2",3,6,1,1,2,1,0,4,36
"3",1,2,0,0,0,1,1,1,77
"4",1,2,0,0,0,2,1,1,66
"5",2,6,0,0,0,2,1,1,71
"6",1,2,0,0,0,1,0,2,43
"7",1,2,0,0,0,2,1,1,52
"8",2,3,0,0,0,1,1,2,62
"9",1,2,0,0,0,1,0,1,63
"10",1,3,0,0,0,2,1,1,66
"11",1,4,1,0,1,3,1,5,72
"12",1,5,0,0,0,3,0,5,60
"13",2,2,0,0,0,2,1,3,60
"14",1,2,0,0,0,3,1,3,50
"15",2,3,0,0,0,1,1,1,84
"16",1,5,0,0,0,1,1,1,30
"17",2,2,0,0,0,1,1,1,36
"18",2,5,1,0,1,3,1,1,23
"19",1,5,0,0,0,3,0,3,62
"20",3,5,0,0,0,2,1,1,52
"21",1,2,0,0,0,2,1,1,25
"22",NA,2,0,0,0,3,0,2,47
"23",NA,6,0,1,1,1,0,1,28
"24",1,1,0,0,0,1,0,3,71
"25",2,2,0,0,0,1,0,1,71
"26",1,1,0,0,0,3,1,1,52
"27",4,3,0,0,0,1,0,1,67
"28",NA,3,0,0,0,3,1,1,46
"29",1,2,0,0,0,2,1,1,52
"30",2,5,0,0,0,3,0,1,49
"31",1,2,0,0,0,2,1,1,81
"32",1,3,NA,NA,NA,3,0,5,53
"33",1,3,0,0,0,3,0,3,62
"34",1,4,1,1,2,2,1,1,53
"35",1,2,0,0,0,1,1,2,73
"36",1,2,0,0,0,2,1,1,76
"37",NA,4,0,0,0,3,1,3,43
"38",1,2,1,0,1,1,0,1,60
"39",2,2,0,0,0,3,1,1,54
"40",3,6,0,0,0,3,0,5,45
"41",NA,1,0,0,0,1,1,2,41
"42",1,5,0,0,0,3,1,4,31
"43",NA,2,0,0,0,1,1,1,68
"44",1,2,0,0,0,2,1,1,42
"45",1,2,0,0,0,3,0,1,45
